"activityLabel" "subjectLabel" "measurement.name" "average.value"
"LAYING" 6 "tBodyAcc.mean...X" 0.268648643296245
"LAYING" 6 "tBodyAcc.mean...Y" -0.0183177280685082
"LAYING" 6 "tBodyAcc.mean...Z" -0.107435631519084
"LAYING" 6 "tGravityAcc.mean...X" -0.375021333827161
"LAYING" 6 "tGravityAcc.mean...Y" 0.622270362899691
"LAYING" 6 "tGravityAcc.mean...Z" 0.55561247407572
"LAYING" 6 "tBodyAccJerk.mean...X" 0.0818473898341049
"LAYING" 6 "tBodyAccJerk.mean...Y" 0.0111723565401199
"LAYING" 6 "tBodyAccJerk.mean...Z" -0.00485976942268338
"LAYING" 6 "tBodyGyro.mean...X" -0.0167253403420918
"LAYING" 6 "tBodyGyro.mean...Y" -0.0934107103603086
"LAYING" 6 "tBodyGyro.mean...Z" 0.125885141252623
"LAYING" 6 "tBodyGyroJerk.mean...X" -0.101864299363374
"LAYING" 6 "tBodyGyroJerk.mean...Y" -0.038198085408019
"LAYING" 6 "tBodyGyroJerk.mean...Z" -0.0638498197415123
"LAYING" 6 "tBodyAccMag.mean.." -0.941110656500514
"LAYING" 6 "tGravityAccMag.mean.." -0.941110656500514
"LAYING" 6 "tBodyAccJerkMag.mean.." -0.97920875497428
"LAYING" 6 "tBodyGyroMag.mean.." -0.938435972026749
"LAYING" 6 "tBodyGyroJerkMag.mean.." -0.982726626075103
"LAYING" 6 "fBodyAcc.mean...X" -0.966812071347737
"LAYING" 6 "fBodyAcc.mean...Y" -0.952678416904835
"LAYING" 6 "fBodyAcc.mean...Z" -0.960018019984568
"LAYING" 6 "fBodyAcc.meanFreq...X" -0.259376067222388
"LAYING" 6 "fBodyAcc.meanFreq...Y" 0.143045583957866
"LAYING" 6 "fBodyAcc.meanFreq...Z" 0.20318696277
"LAYING" 6 "fBodyAccJerk.mean...X" -0.980197655180041
"LAYING" 6 "fBodyAccJerk.mean...Y" -0.971383628894033
"LAYING" 6 "fBodyAccJerk.mean...Z" -0.976614530180041
"LAYING" 6 "fBodyAccJerk.meanFreq...X" 0.105178707989746
"LAYING" 6 "fBodyAccJerk.meanFreq...Y" 0.00485365387352315
"LAYING" 6 "fBodyAccJerk.meanFreq...Z" 0.0699619900375761
"LAYING" 6 "fBodyGyro.mean...X" -0.962915035776389
"LAYING" 6 "fBodyGyro.mean...Y" -0.967582058544239
"LAYING" 6 "fBodyGyro.mean...Z" -0.964184423173868
"LAYING" 6 "fBodyGyro.meanFreq...X" -0.0174605087394012
"LAYING" 6 "fBodyGyro.meanFreq...Y" -0.139337310710561
"LAYING" 6 "fBodyGyro.meanFreq...Z" 0.11328010251823
"LAYING" 6 "fBodyAccMag.mean.." -0.94767271172428
"LAYING" 6 "fBodyAccMag.meanFreq.." 0.116228984859398
"LAYING" 6 "fBodyBodyAccJerkMag.mean.." -0.974300115365226
"LAYING" 6 "fBodyBodyAccJerkMag.meanFreq.." 0.281115014821636
"LAYING" 6 "fBodyBodyGyroMag.mean.." -0.95485445779321
"LAYING" 6 "fBodyBodyGyroMag.meanFreq.." -0.0293652946094444
"LAYING" 6 "fBodyBodyGyroJerkMag.mean.." -0.977968240452675
"LAYING" 6 "fBodyBodyGyroJerkMag.meanFreq.." 0.165728127309943
"LAYING" 6 "angle.tBodyAccMean.gravity." 0.0103659924336903
"LAYING" 6 "angle.tBodyAccJerkMean..gravityMean." 0.0160126165105041
"LAYING" 6 "angle.tBodyGyroMean.gravityMean." 0.0227878882086008
"LAYING" 6 "angle.tBodyGyroJerkMean.gravityMean." 0.00919134168691049
"LAYING" 6 "angle.X.gravityMean." 0.520261132799383
"LAYING" 6 "angle.Y.gravityMean." -0.435944284216049
"LAYING" 6 "angle.Z.gravityMean." -0.42774881762037
"LAYING" 6 "tBodyAcc.std...X" -0.960932405036523
